"","Username","Ulasan","Kategori","","","","","","","","","","","","","","","","","","","","","",""
"228","Kunaifi “Nafie” Kunaifi","Menarik,masih asri dan sejuk,dengan perbaikan dan pembaruan pengelolalaan manajemen,sekarang jauh lebih tertata,tiket bisa di pesan online,harga terjangkau 12500/pax dewasa, 10 000anak2,yg penting jangan buang sampah sembarangan,biar lingkungan terjaga.","positif","","","","","","","","","","","","","","","","","","","","","",""
"229","rio asnan","Kami sekeluarga suka ❤, murah meriah kita dari pagi sampai sore tidak terasa karena udara masih bersih, anak2 nyaman, aman, tenang dan senang yg pastinya tidak mau pulang😊. …","positif","","","","","","","","","","","","","","","","","","","","","",""
"230","Dwi Ani","Tempatnya asri banget, airnya jernih. Cocok buat ngecamp bersama keluarga ataupun sahabat, penataan nya lebih rapi dan tempatnya lebih bersih. Nice banget deh","positif","","","","","","","","","","","","","","","","","","","","","",""
"231","Yohannes Evan","Tempat wisata di trawas yg recomended, sekarang sudah di bangun dengan baik, banyak spot spot baru, murah. Sudah kesini 5 kali. Enjoy!","positif","","","","","","","","","","","","","","","","","","","","","",""
"232","Andy Saputro","Tempat OutDoor yang nyaman dan bagus untuk keluarga, camping bersama keluarga dengan fasilitas air terjun dan kolam bermain ubtuk anak2, sangat cocok bersama keluarga dan anak, harga tiket 15rb/orang, sangat terjangkau patut dicoba.","positif","","","","","","","","","","","","","","","","","","","","","",""
"233","Ahmed Ali Harazim","Lokasi wisata terjangkau dan mudah d akses..... Sudah banyak pembaruan dan renovasi utk memanjakan turis","positif","","","","","","","","","","","","","","","","","","","","","",""
"234","Baju Bagus Sidoarjo","Pemandangan alam yg mempesona, hawa yang sejuk, air terjun yang indah, wahana wisata yang mengasyikkan, taman kelinci yang lucu, pengalaman perkemahan yang menantang.. …","positif","","","","","","","","","","","","","","","","","","","","","",""
"235","Zulfa Eff","Tempatnya adem. Cocok untuk relaksasi Dan melihat pemandangan alam. Sayang pengelolaan retribusinya kurang berjalan dengan baik Dan kamar mandi umunya tidak dirawat.","positif","","","","","","","","","","","","","","","","","","","","","",""
"236","Esa Fatika","Tempatnya strategis dan banyak monyet di sini.. seru sekali kalau ke sini pas nggak hujan terus sepi.. wisata berasa milik pribadi :D hehehe","positif","","","","","","","","","","","","","","","","","","","","","",""
"237","Nicmah explorer","Akses mudah, tempat parkir lumayan luas. Banyak penjual jadi gak perlu repot bawa bekal. Pemandangan air terjunnya cantik dan mudah di jangkau. Sekarang ada taman kelincinya juga. Tambah tertata rapi, makin bagus dengan adanya renovasi dan perawatan.","positif","","","","","","","","","","","","","","","","","","","","","",""
"238","Supriyanto Supriyanto","Air terjun Dlundung dgn tinggi sekitar 14 m di lereng Gunung Welirang ini di pagi hari terasa sejuk.. segar dan indah, dgn  panorama alam yg eksotis. Untuk mencapainya dari parkir kendaraan sangat mudah jalan kaki 5-10 sdh sampai di air …","positif","","","","","","","","","","","","","","","","","","","","","",""
"239","Arini Irkhamni","Tempat yang sangat-sangat asri dan sejuk, udara segar,air mengalir,pepohonan hijau, suasana yang sangat nyaman.
Cocok sekali untuk liburan bersama keluarga.
Camping ground juga tersedia.","positif","","","","","","","","","","","","","","","","","","","","","",""
"240","M. Sueko prakoso","coba lihat di struk tiket awal masuk sudah ada keterangan parkir .masa masih di minta uang parkir lagi.sekali lagi bukan masalaah uang nya masalah kejelasan saja dalam peraturan.","negatif","","","","","","","","","","","","","","","","","","","","","",""
"241","Citra Pratiwi","Tempat rekreasi alam yg murah & ramah untuk keluarga, organisasi, ataupun sekedar camping sederhana dg teman. Bumi perkemahan yg dimana ada banyak ground mulai ground A-J. Setiap ground didukung dg fasilitas kamar mandi yg bersih. Hanya …","positif","","","","","","","","","","","","","","","","","","","","","",""
"242","ARIEF MUHARIYONO","Asyik...
Seruu...
Menyenangkan","positif","","","","","","","","","","","","","","","","","","","","","",""
"243","imroatul muhimmatin","Tiket masuk camping untuk motor Rp.  36000. Ada beberapa ground yangvtersesia untuk camping disini,  setiap ground di lengkapi mck. Di puncak bukit ground H dan I ada perkebunan ashitaba dg view yang cantik.  Jalan ke air terjun dekat, …","positif","","","","","","","","","","","","","","","","","","","","","",""
"244","whyta widhiasmono","Tempat nya bagus, di kaki gunung, hutan nya masih lebat, tetapi dikelola dengan baik. …","positif","","","","","","","","","","","","","","","","","","","","","",""
"245","Anto Blink","Ramai pengunjung klo weekend.
HTM masuk 12.500. Didalam kawasan masih ada wisata lagi seperti Taman kelinci (HTM 5.000), dll. Banyak jual makanan seperti bakso, gorengan, popmie, dll. Harga makanan terjangkau dan tidak mahal","positif","","","","","","","","","","","","","","","","","","","","","",""
"246","Budi Setiawan","Saran saja.. kalo memang sepeda motor harus parkir di bawah/loket pintu masuk.. kenapa mobil boleh parkir di atas?? Waktu di loket saya sdh nanya,gk boleh parkir spd mtr di atas,jawabnya gk boleh semua harus jalan. Buktinya sampe atas banyak mobil parkir di atas.. haddew..","negatif","","","","","","","","","","","","","","","","","","","","","",""
"247","AREK PORONG OFFICIAL","Tempat wisata recommended  HTM 10.000
Parkir R2. 3000.
Jangan lupa mampir warung pak yit. …","netral","","","","","","","","","","","","","","","","","","","","","",""
"248","Mars","Tempatnya sejuk, bersih, nggak ada sampah. Kalau mau foto-foto lebih baik datang pagi sekitar jam 7, karena jam 8an sudah banyak yang naik ke air terjun (biasanya dari yang camping dibawah). Aksesnya mudah, sudah diberi tangga, modern, nyaman.","positif","","","","","","","","","","","","","","","","","","","","","",""
"249","Thiyar wulandari","Apik, jalan menuju kesana terlalu menanjak, diawal pintu masuk disuguhi pemandangan hutan yg asri dan tempat camping yang w.o.w, kamar mandinya juga okay bgt, yang kurang cuma satu 'Dia'.😎 …","positif","","","","","","","","","","","","","","","","","","","","","",""
"250","Eky Andriani","Air terjun yang ada di puncak trawas,jalannya nanjak dan agak sempit,tapi ya udah beraspal..biaya masuk 10rb perorang biaya parkir 2rb dan kaya asuransi gitu 500 rupiah per orang,terus setelah masuk parkiran ada biaya penataan motor lagi …","negatif","","","","","","","","","","","","","","","","","","","","","",""
"251","Nanang Sugianto","Anda ingin berwisata alam air terjun, maka air terjun dlundung yang ada di wilayah Trawas Pasuruan bisa menjadi alternatif jika anda memiliki rute melewati daerah Pandaan. …","positif","","","","","","","","","","","","","","","","","","","","","",""
"252","Andini Putri Ismayasari","Mantap kalau buat bersama sahabat atau keluarga tempatnya dingin ok kamar mandi dan musholla juga dan cocok banget buat santai2","positif","","","","","","","","","","","","","","","","","","","","","",""
"253","mama azam","tempat bagus, sejuk
htm dewasa 12,5 k anak 10k weekend
di pintu masuk kl dihitung2 ,sy motoran 2 org dewasa,1 anak hr wekend udah …","positif","","","","","","","","","","","","","","","","","","","","","",""
"254","Alisuwarno_1983","Tempat sangat indah dan menawan,ada fasilitas untuk perkemahan,taman kelinci,pendopo untuk hiburan warung untuk istirahat tempat parkir luas 5ribu buat 1 mobil juga luas n paling utama adalah airterjunnya sangat cantik sekali...","positif","","","","","","","","","","","","","","","","","","","","","",""
"255","Faris Robbany","Tempatnya bersih akses menuju air tejun sangat mudah.
Tempat parkir sepeda motor sangat dekat dengan air terjun.
Rincian biaya masuk: …","positif","","","","","","","","","","","","","","","","","","","","","",""
"256","Nurma PT. Sabda Duta Paramitha","Suka sekali, udaranya dingin, air terjunnya gak terlalu jauh jalannya, ada taman kelinci juga. Cocok banget buat liburan keluarga. Tiket 10rb aja murah banget","positif","","","","","","","","","","","","","","","","","","","","","",""
"257","Suwanto Azka","Tempat wisata ini sangatlah bagus sekali.... hawanya sejuk dan juga ada tempat bermain anak2 selain taman kelinci yg disediakan bagi pengunjung....","positif","","","","","","","","","","","","","","","","","","","","","",""
"258","Putri F Windiningtyas","Salah satu tempat wisata di daerah Trawas, Mojokerto adalah air terjun Dlundung.
Dengan tiket yang terjangkau 12.5k ada dapat menikmati indahnya air terjun ini. …","positif","","","","","","","","","","","","","","","","","","","","","",""
"259","putrivia fareza","Setahun yg lalu kesini masih belum ada rabbit park. Sekarang sudah ada. Tiket masuk tetep. Rp 14.000,- . Pemandangannya bagus, hawanya sejuk, ada camping groundnnya. …","positif","","","","","","","","","","","","","","","","","","","","","",""
"260","Farida Utami","Tempatnya adem suejuk bersih,makanannya jg enak,toilet bersih.pokoknya nyaman bnget,cuma sayang akses masuknya msh sempit","negatif","","","","","","","","","","","","","","","","","","","","","",""
"261","Ulliyah Trisna Widayati","ASRIII, dingin banget disana. Sejuk. Pengunjungnya juga nggak terlalu berduselan, jd masih nyaman. Cuma saya agak kesel sama parkir. Kan didepan sudah bayar untuk sepeda motor 3k, eh tp pas pulang suruh bayar parkir lg 3k. Trus makanannya …","negatif","","","","","","","","","","","","","","","","","","","","","",""
"262","ridha styana","Tempatnya nyaman suasanya asri bgt lebih bagus dari yg dlu tempat wisata yg recoment dr tiket masuk gk mahal tempat wisata yang menarik","positif","","","","","","","","","","","","","","","","","","","","","",""
"263","Ayu Novia Sari","Waktu kesini di Oktober 2019 udah beda banget sama 3 tahun yang lalu. Udah mulai dirapikan bagian pinggir kolamnya dan dibangun semacam hobbitton gitu. Keseluruhan semakin bagus dan bersih.","positif","","","","","","","","","","","","","","","","","","","","","",""
"264","Aldi purnomo","suasana sejuk dan dingin, pemandangan indah saat perjalanan menuju air terjun, banyak fasilitas umum seperti warung, toilet, musholla, parkir dll. hampir setiap minggu  ramiai pengunjung. disekitar air terjun juga banyak taman taman buatan dan gazebo untuk nongkrong","positif","","","","","","","","","","","","","","","","","","","","","",""
"265","Firyal Mhaq","Tempat wisata paket komplit
1. Air terjun dlundung
2. Tempat camping (ada persewaan tenda juga) …","netral","","","","","","","","","","","","","","","","","","","","","",""
"266","Rap Raptor","Tempanya Bagus, sudah tertata dengan baik.. fasilitas lengkap. Lebih baik datang dihari kerja dengan ambil cuti, kalau weekend ramai diarea air terjun penuh pengunjung.","positif","","","","","","","","","","","","","","","","","","","","","",""
"267","Siti Suryani Nur Latifah","Tempatnya lumayan sih kalo buat sekedar pengen liat air terjun, jalannya ga terlalu nanjak. Kalo ajak anak-anak atau orang tua masih bisa disini.","positif","","","","","","","","","","","","","","","","","","","","","",""
"268","Hanna R","tempat wisata yg sejuk dan betah buat berlama"" disini anak"" bs mandi & bs berkemah bareng keluarga besar seru pokok e. lahan parkir luas untuk biaya parkir mobil 5rb.trs klo laper g perlu khawatir bnyk t4 mkn & minum nya hrga juga terjangkau.","positif","","","","","","","","","","","","","","","","","","","","","",""
"269","Chairul Anam","Keren,pemandangan alamnya cantik waktu dilihat ketinggian, penataan bagus jalan kewisata lebar,penjual makanan mura,ramah dikantong.","positif","","","","","","","","","","","","","","","","","","","","","",""
"270","Atik Widya","Byk perubahan dan lbh baik, fasilitas jg lengkap, jln setapak jg sdh dilapisi kayu, dan ada pengaman pagar besi menuju air terjun","positif","","","","","","","","","","","","","","","","","","","","","",""
"271","Eko Hari Susanto","Pengembangan wisata air terjun yang sekarang menjadi sangat menarik, penataan yang sangat menarik, banyak obyek foto bagus selain air terjun utama","positif","","","","","","","","","","","","","","","","","","","","","",""
"272","Agung Sudarmanto","tempat yg nyaman untuk mengenalkan anak dg wisata alam. lain pekan akan kembali kesini sekalian camping.","positif","","","","","","","","","","","","","","","","","","","","","",""
"273","Reni Yunita","Bagi penggemar wisata alam..ini sangat menyegarkan mata..coba dilokasi ada pasar sayur hasil petani..pasti tambah suwip...itu aja sih masukan,y..semoga next sya kesna pasar sayur,y udah ada..hehe","positif","","","","","","","","","","","","","","","","","","","","","",""
"274","Khikee Zhao","Tempat wisata dengan pemandangan air terjun
Di buat sedemikian rupa agar bisa dinikmati bersama keluarga
Cocok juga buat anak-anak karena tempatnya aman","positif","","","","","","","","","","","","","","","","","","","","","",""
"275","Anisa Rab Adi","Pemandangan air terjun bagus dan sudah diperbarui. Terdapat taman kelinci, hati2 jika membawa anak kecil karena tekstur tanahnya miring jadi takut jatuh terpeleset. Untuk tiket masuk kesini harganya 23 ribu terus parkir motor bayar lagi 3 ribu. Masuk ke taman kelinci per orang bayar 5 ribu dan per ikat wortel 5 ribu.","netral","","","","","","","","","","","","","","","","","","","","","",""
"276","Kris Tiyanoko","Disayangkan sudah di loket bayar parkir tapi masih kena parkir lagi😏, mgkn bisa di tertibkan supaya bisa lebih baik lagi. …","negatif","","","","","","","","","","","","","","","","","","","","","",""
"277","Fatimatuz Zuhro","Tempat wisata yg cocok sekali untuk ngadem, udaranya sejuk
Harga tiket masuk untuk dewasa 12500, anak2 10000. Tiket masuk taman kelinci 5000/org, naik kuda 30rb","positif","","","","","","","","","","","","","","","","","","","","","",""
"278","Darus Red","Pemandangan nya bagus
Area parkir tdk jauh dr air terjun
Penataan tempat juga bagus …","positif","","","","","","","","","","","","","","","","","","","","","",""
"279","suci sekarum","Cocok untuk wisata anak kecil, banyak spot yang bermanfaat, bisa untuk camp, pokoknya cocok untuk liburan sekolah anak-anak. …","positif","","","","","","","","","","","","","","","","","","","","","",""
"280","arif setiono","Mengenal tempat ini d tahun 1999 saat camping outdoor,, refreshing cukup menyenangkan bersama keluarga dan kawan2..","positif","","","","","","","","","","","","","","","","","","","","","",""
"281","Khoirur Roziqin","AIR TERJUN NDLUNDUNG adalah air terjun yang menawarkan keindahan, kemudahan akses dan ke ekonomisan wisata alamnya. Anda tidak perlu merogoh kocek dalam dalam karena harganya terjangkau utk semua kalangan. Saran saya datang lah ke air …","positif","","","","","","","","","","","","","","","","","","","","","",""
"282","KemanaLagi NgapainLagi","Keren banget deh. Makin bagus dan keren ...bisa utk camping, ada juga tempat makan dan ngopi yg syahdu banget. Liputan lengkap bisa check di channelku ya di YouTube : KemanaLagi NgapainLagi.","positif","","","","","","","","","","","","","","","","","","","","","",""
"283","Suachiyat. Sulaiman","Tempat air terjun yg indah, murah n meriah","positif","","","","","","","","","","","","","","","","","","","","","",""
"284","wiga sesa","Awalnya gak sengaja ketempat ini...
Karena awalnya ga ada rencana mau kemana. …","positif","","","","","","","","","","","","","","","","","","","","","",""
"285","Ahmad Munawar (Munawar)","Tempat bagus dan fasilitas juga memadai, ada area camping juga, cuma sayang banyak yg harus dibayar, Tiket Masuk orang, tiket masuk motor, parkir motor, itu bayar sendiri-sendiri, Toilet juga bayar lagi, mestinya kan HTM itu sudah termasuk …","positif","","","","","","","","","","","","","","","","","","","","","",""
"286","Eko waluyo","tempatnya bersih,segar,lok waterfall g jauh dari parkiran.ada tempat camping juga.aman👍👍👍👍 …","positif","","","","","","","","","","","","","","","","","","","","","",""
"287","ayumi indah","tempatnya bagus, disarankan berangkat pagi karna masih sepi n enjoy untuk foto²","positif","","","","","","","","","","","","","","","","","","","","","",""
"288","Enny Damayanti","Wisata alam murah meriah. Bersih dan tertata rapi . Wonderful..
Apalagi dapat kesempatan Nemu pelangi 🌈🌈. Recommended …","positif","","","","","","","","","","","","","","","","","","","","","",""
"289","yulia yusuf","Salah satu air terjun terkenal di desa Ketapanrame Trawas Mojokerto. Akses ke air terjun ini sekarang sudah bagus. Jalan sudah diperlebar dan dipaving sampai air terjun. Jadi pada saat hujan tidak akan becek. Di sekitar air terjun ada …","positif","","","","","","","","","","","","","","","","","","","","","",""
"290","zee cell","Tips kalau kesini hari biasa saja tidak ramai karena bikin suasana tenang.Toilet dan musholahnya bagus.Semoga wisata ini dipertahankan kenyamannya.","positif","","","","","","","","","","","","","","","","","","","","","",""
"291","Agnesia Walandouw","Suasananya enak
Cocok buat tamasya keluarga
Parkirnya luas …","positif","","","","","","","","","","","","","","","","","","","","","",""
"292","Me Dusa","Lumayan air terjunnya, pinter2 aja cari spot foto..
Fasilitas lengkap. Ada mushola, toilet bersih, tempat makan juga, sinyal buruk namun menyediakan jasa wifi berbayar..","positif","","","","","","","","","","","","","","","","","","","","","",""
"293","Qiem Qiem Rochim","Sangat sangat menikmati suasana alam yang begitu indah🥰🥰🥰 …","positif","","","","","","","","","","","","","","","","","","","","","",""
"294","Fandi Akhmat","Cukup menyenangkan buat anak anak,jalan kaki tidak jauh untuk sampai air terjun.
Hanya saja ada arena omah camping disebelah taman kelinci,terlalu berisik dgn lagu lagu yg terlalu keras,mengganggu suasana santai alami","negatif","","","","","","","","","","","","","","","","","","","","","",""
"295","Dinda Kasfiyah","Tempatnya sekarang sudah baguss. Kalau naik ke air terjunnya gak perlu susah2 karena sudah ada tangganya, jadi gak terlaku capek. Kalau mau berkemah disini malah lebih asyik. Malam kemah, paginya langsung ke air terjun","positif","","","","","","","","","","","","","","","","","","","","","",""
"296","Edy geol","Udaranya sejuk, dan terdapat camping ground dengan fasilitas toilet yang bersih dan air lancar, sangat cocok untuk acara camping ceria bersama keluarga","positif","","","","","","","","","","","","","","","","","","","","","",""
"297","yanuarita asmaningayu","Good place! Sebaiknya datang pada pagi hari. Bisa di buat camping juga","positif","","","","","","","","","","","","","","","","","","","","","",""
"298","Fendi Ardian","Mudah dijangkau karena lokasinya tidak terlalu jauh dari jalan raya. Tiket murah cuma 10rb aja. Lahan parkir lumayan luas. Pemandangannya bagus dan terbilang cukup bersih. Sudah tersedia toilet serta mushola.","positif","","","","","","","","","","","","","","","","","","","","","",""
"299","Amalia Irawati","Tempat yang sangat cocok dijadikan pelarian penat dari hiruk pikuk kota. Banyak sekali keluarga yang memanfaatkan tempat ini sebagai ajang pengenalan sang anak kepada indahnya alam. Banyaknya pohon pinus menambah kesan indah tempat ini …","positif","","","","","","","","","","","","","","","","","","","","","",""
"300","hanan intan","Pengalaman sangat seru se x bersm keluarga menghibur anak² & menghilangkan kejenuhan dikota Surabaya","positif","","","","","","","","","","","","","","","","","","","","","",""
"301","Elyas Wahyudi","Tempat wisata alam yang murah meriah ,udaranya sejuk pemandangan alamnya indah betah untuk berlama lama","positif","","","","","","","","","","","","","","","","","","","","","",""
"302","Titik Dian Darmayanti","Adem Banget tempatnya...dan Asri....
jalan menuju kesana juga nice...","positif","","","","","","","","","","","","","","","","","","","","","",""
"303","Erwin K Awan","Bagi yang senang dengan camping, bisa mempertimbangkan untuk camping di sini. Selain sebagai ajang rekreasi dan camping keluarga, lokasi juga dekat air terjun yang tidak terlalu jauh tempat nya. Dengan banyaknya warung yang menyediakan berbagai macam makanan tentunya akan membuat camping dan tamasya menjadi lebih menyenangkan.","positif","","","","","","","","","","","","","","","","","","","","","",""
"304","A'zhar F","Bagus sejuk suasananya tenang","positif","","","","","","","","","","","","","","","","","","","","","",""
"305","Nurjanah Nj","Tempatnya bagus banyak spot foto cuma sayang kemarin pas kesini ruame bangetttt kurang menikmati makannya terjangkau..tempatnya adem","negatif","","","","","","","","","","","","","","","","","","","","","",""
"306","astulina tandra","manstab pokoknya, area tetap di jaga kebersihan dan ketertiban nya...syukak👌
terimakasih seluruh staff dan karyawan sdh menjaga alam kita 😘 smp skrg kita bs menikmati keindahan alam nya …","positif","","","","","","","","","","","","","","","","","","","","","",""
"307","Nur Azizah","Sekarang sdh jauh lebih bagus, lebih terawat
Parkir bs naik sampai deket air terjun (kl gak penuh yaaa)
Ada banyak warung jg …","positif","","","","","","","","","","","","","","","","","","","","","",""
"308","Niar Puji Cayati","Cukup bagus dan menarik dengan harga tiket masuk cukup terjangkau","positif","","","","","","","","","","","","","","","","","","","","","",""
"309","Lisa Dwi","Kalau weekand rame sih tapi tetep enak untuk mengajak keluarga liburan","positif","","","","","","","","","","","","","","","","","","","","","",""
"310","Fahrudin Husein","Wisata yang cukup bagus pemandangan, penataan taman yang semakin bagus, harga tiket yang masih murah, cocok untuk liburan keluarga","positif","","","","","","","","","","","","","","","","","","","","","",""
"311","Agung Primaha Rhendra","Tempat wisata yang cocok buat keluarga, tiket masuk per orang cuma 10.000 rupiah untuk hari biasa, 12.500 rupiah untuk weekend atau pada waktu hari libur, parkir motor 3000 rupiah, lokasi tidak seberapa jauh dari jalanan utama, cukup …","positif","","","","","","","","","","","","","","","","","","","","","",""
"312","wahiba maghfuro","Udaranya sejuk, dingiiiin airnya, dan satu kata buat tempat ini ""indah""","positif","","","","","","","","","","","","","","","","","","","","","",""
"313","muhamad febriafriyanto","Tempatnya lumayan kalau mau buat acara santai keluarga....
Cuma kalau pas week end ruamai bgt","positif","","","","","","","","","","","","","","","","","","","","","",""
"314","Evita Wulandari","Bagus dan murah meriah ada taman kelinci kecil dan air terjun lumayan buat anak2 kecil main air jarak menuju air terjun pun dekat jd anak gak capek jalan, cm klo weekend rame bgtt ini wisata yg friendly bgt buat anak","positif","","","","","","","","","","","","","","","","","","","","","",""
"315","indah tyo (Shinju Kitchen)","Menyenangkan walaupun camping groundnya skrng dipakai parkiran. Jd tempat buat camp harus cari tempat agak tinggi lagi. Mau makan uda banyak warung, toilet perlu di perbanyak lagi untuk di camping ground utama krn pas weekend  antri panjang …","netral","","","","","","","","","","","","","","","","","","","","","",""
"316","Ummu Azzahra","Nyaman, terawat dan akses mudah jalan setapak menuju air tejun. Harga makanan relatif murah.","positif","","","","","","","","","","","","","","","","","","","","","",""
"317","Hafidh Ubaidillah","Wisata alam yang cocok untuk dikunjungi bersama keluarga atau teman. Anda bisa bermain air di bawah air terjun atau berjalan-jalan menikmati pemandangan alam yang asri.","positif","","","","","","","","","","","","","","","","","","","","","",""
"318","Alfatah Al","Sangat bagus untuk merefresh pikiran","positif","","","","","","","","","","","","","","","","","","","","","",""
"319","Ardiansah Danus","Tempat wisata air terjun yg sejuk, nyaman, aman, dan menyenangkan.. Ada fasilitas camping ground, taman kelinci, musholla, toilet, dan warung, lengkap..
. …","positif","","","","","","","","","","","","","","","","","","","","","",""
"320","Aiza nur Rohmah","Salah satu air terjun yg paling sering dikunjungi, tempatnya adem bisa ngecamp, bersih ada toilet dan musholla harga tiket msuknya juga murah hanya 13.000 rupiah","positif","","","","","","","","","","","","","","","","","","","","","",""
"321","Endang Satmiasih","Taman kelinci, tempatnya berdekatan dgn air terjun dlundung. Lumayan buat cari kesejukan.
Byk tempat duduk, jd bs melepas penat. Yg mau main2 air aman buat anak2 krn air …","positif","","","","","","","","","","","","","","","","","","","","","",""
"322","Afryandi Nora","Kebersihan oke. Campground cukup luas. Fasilitas oke. Untuk camp Bisa masuk 24 jam. Pagi hari nanti baru d minta identitas untuk pembayaran pas keluar","positif","","","","","","","","","","","","","","","","","","","","","",""
"323","pipit","jauh - jauh diperjalanan, berharap bisa liat air terjun ternyata masih ditutup selama 3 bulan ini karena PPKM..
walah dalah, banyak pengunjung yang kecewa jadi pada putar balik semua. …","negatif","","","","","","","","","","","","","","","","","","","","","",""
"324","MZ ICHAL","Sebelum anda memasuki loket airterjun dlundung, anda bisa berhenti sejenak di sisi kanan jalan tidak jauh dari loket airterjun.
hal ini sya lakukan saat antrian panjang, juga untuk menjaga kestabilan mesin …","netral","","","","","","","","","","","","","","","","","","","","","",""
"325","suko ningtiyas","Dlundung waterfall, wisata alam yang perlu untuk dilestarikan. Cocok untuk liburan bersama teman maupun keluarga. Udaranya sejuk karena terletak di kawasan Trawas. Ada tempat campingnya juga","positif","","","","","","","","","","","","","","","","","","","","","",""
"326","Ahmad Billy Hamzah","Satu dari puluhan air terjun mempesona yang ada di Kabupaten Mojokerto.

Air terjun ini berada di wilayah kecamatan trawas, memiliki pesona, panorama dan …","positif","","","","","","","","","","","","","","","","","","","","","",""
"327","Khotibul Umam","Wisata yang cukup rekomen untuk keluarga biaya juga terjangkau, weekend lumayan padat","positif","","","","","","","","","","","","","","","","","","","","","",""
"328","Maharani A.T.","Salah satu air terjun yang dapat dijadikan alternatif tujuan wisata bersama keluarga. Akses ke lokasi cukup mudah dijangkau. Tempat parkir tersedia dengan baik. Banyak warung di sekitar lokasi yang menjual makanan, gorengan dan minuman. Dan …","positif","","","","","","","","","","","","","","","","","","","","","",""
"329","Agung Susanto","Tempat wisata alam sederhana namun indah, masih alami gak kebanyakan campur tangan komersial
Untuk masuk ada loket lokasi wisata, di dalam ada lagi retribusi parkir mobil …","netral","","","","","","","","","","","","","","","","","","","","","",""
"330","Sudarto","Sejuk. Sudah ada kafe dan kolam renang mini","positif","","","","","","","","","","","","","","","","","","","","","",""
"331","Dini Novita","Sangat menakjubkan tempat nyaman bersih mempesona","positif","","","","","","","","","","","","","","","","","","","","","",""
"332","Asyila Syakila","Bagi yang sedang berwisata ke Trawas,  tidak boleh melewatkan satu objek wisata yang indah disini yaitu Air Terjun Dlundung Trawas. Air Terjun ini merupakan air terjun yang berada di wilayah Dlundung Trawas. Air terjun ini masih bersih dan …","positif","","","","","","","","","","","","","","","","","","","","","",""
"333","Moch Shodikin","Sangat Senang Sekali,, Puas lihat pemandangan air terjunnya,, ada rencana ke sana lagi,, 👍 …","positif","","","","","","","","","","","","","","","","","","","","","",""
"334","Aisyah fitriani Rahayu","Tempatnya sudah banyak berubah... Sudahh bagus dan view-nya amat sangat cantik.. instgramable .. disini ga hanya dmanjakan dngn air terjun sajaa banyak edu wisata lainnya sprty taman kelinci jg..  friendly buat anak kecil","positif","","","","","","","","","","","","","","","","","","","","","",""
"335","Argoros Chanel","Air terjun dlundung.. destinasi ini ada diwilayah trawas ..mojokerto.. akses ketempat ini cukup mudah.. karna jalan nya beraspal mulus tapi sedikit menanjak.. saya baru ketempat ini lagi bulan mei 2018 ini.. saya terakhir ke sini sekitar …","positif","","","","","","","","","","","","","","","","","","","","","",""
"336","BAHTIAR MUHAMAD","Wahana rekreasi dan edukasi yang aman, nyaman dan menyenangkan bagi seluruh anggota keluarga","positif","","","","","","","","","","","","","","","","","","","","","",""
"337","Angga MendHem","kalau mau kesini saran di hari masuk kerja , karena hari libur full pengunjung manusia semua 😄 …","netral","","","","","","","","","","","","","","","","","","","","","",""
"338","Allvice Juminten","Jalan menuju ke sini sangat aman. Udaranya sejuk. Cuman belum ada angkutan umum kaya x soalnya kmrn ga lihat angkutan umum. Lumayan buat liburan sama keluarga. Aman jg buat anak2.","netral","","","","","","","","","","","","","","","","","","","","","",""
"339","travelbydeddy","Rapi.. indah. cocok bgt utk wisata keluarga
banyak spot foto instagramable …","positif","","","","","","","","","","","","","","","","","","","","","",""
"340","Leni Lutfi","Bagus air terjunnya
Banyak org camping jadi pengen 🤭😍 …","positif","","","","","","","","","","","","","","","","","","","","","",""
"341","Tudhon","Untuk ukuran Mojokerto air terjun ini sudah termasuk besar. Namun bila dibandingkan dengan coban-coban di daerah Malang ya air terjun ini tergolong mini.","netral","","","","","","","","","","","","","","","","","","","","","",""
"342","Nada Taqiyya Izazi","Suka banget, tempatnya bersih, cuman yang disayangkan udah bayar parkir didepan pintu masuk, ketika parkir suruh bayar lagi.
Disekitaran air terjun banyak tempat duduk yang bisa dipakai nyantai bareng keluarga/rombongan.","netral","","","","","","","","","","","","","","","","","","","","","",""
"343","rizkha surya","Tambah bagus... Minus nya 1, parkir motor nya juaauh sekali","negatif","","","","","","","","","","","","","","","","","","","","","",""
"344","Arma Ima Sahata","tempat ini menurut saya dikelola dengan baik oleh perhutani sebagai kawasan wisata, selain murah sarana, parkir juga nyaman.
air terjun juga dapat dijangkau dengan mudah, dan pastinya suasananya sejuk pegunungan.","positif","","","","","","","","","","","","","","","","","","","","","",""
"345","abiL","tiket masuknya 26 ribu , tiap motor kena 2ribu buat parkir. tapi waktu diatas jg tetep kena biaya parkir. hati-hati kawan dg oknum tertentu.","negatif","","","","","","","","","","","","","","","","","","","","","",""
"346","Nunna Nurjanah (Nunna)","Lokasi wisata recomended utk keluarga maupun komunitas, murah, lokasi wisata strategis, medannya aman, asri, bersih, terdapat kamar mandi dan mushola juga yg bersih dan terawat.","positif","","","","","","","","","","","","","","","","","","","","","",""
"347","Glend Maatita","Kesana buat kemping, pas rame2nya. Tempatnya bagus, ada tracking buat nature walk yang masih sangat asri.
Kurang nya di kamar mandi aja sih, terlalu sedikit dibanding jumlah pengunjung dan agak kotor","negatif","","","","","","","","","","","","","","","","","","","","","",""
